Novel,Author,Date Published,Date of Action,Location,Tags
Tehanu:  The Last Novel of Earthsea,Ursula LeGuin,1990,N/A,Earthsea (fictional and in a fictional universe),10 F 34
Stations of the Tide,Michael Swanwick,1991,Very Distant Future,"Miranda (fictional, OSS)",5 M 33 42
Doomsday Book,Connie Willis,1992,Late 21st Century,Earth,1 F 32 41
Red Mars,Kim Stanley Robinson,1993,2026,Mars,2 M 32 41
Moving Mars,Greg Bear,1993,22nd century,Mars,2 M 33 41
The Terminal Experiment,Robert J. Sawyer,1995,2011,Earth,1 M 32 41
Slow River,Nicola Griffith,1995,Near Future,Earth,1 F 32 41
The Moon and the Sun,Vonda McIntyre,1997,17th Century,Earth,1 F 30 40
Forever Peace,Joe Haldeman,1997,Near Future,Earth,1 M 32 41
Parable of the Talents,Octavia E. Butler,1998,21st Century,Earth,1 F 32 41
Darwin's Radio,Greg Bear,1999,Near Future,Earth,1 M 32 41
The Quantum Rose,Catharine Asaro,2000,Very Distant Future,"Balumil and Kamoj (fictional, OSS)",05 10 F 33 42
American Gods,Neil Gaiman,2001,Present,Earth,1 M 31 41
The Speed of Dark,Elizabeth Moon,2002,Near Future,Earth,1 F 32 41
Paladin of Souls,Lois McMaster Bujold,2003,N/A,N/A, F 34
Camouflage,Joe Haldeman,2004,Prehistory - 2019,Earth,1 M 30 32 40 41
Seeker,Jack McDevitt,2005,"circa 12,000 A.D.",Outer Space (OSS),5 M 33 42
The Yiddish Policeman's Union,Michael Chabon,2007,Alternative Present,Earth,1 M 31 41
Powers,Ursula LeGuin,2007,N/A,N/A, F 34
The Windup Girl,Paolo Bacigalupi,2009,23rd Century,Earth,1 M 32 42
Blackout/All Clear,Connie Willis,2010,Mid 21st Century,Earth,1 F 32 41
Among Others,Jo Walton,2011,1979-80,Earth,1 F 30 40
2312,Kim Stanley Robinson,2012,2312,Mercury,F 32 42
Ancillary Justice,Anne Leckie,2013,Very Distant Future,"Radchaii Empire (fictional, OSS)",05 10 F 33 42
The Vor Game,Lois McMaster Bujold,1990,Very Distant Future,Outer Space (OSS),5 F 33 42
Barrayar,Lois McMaster Bujold,1991,Very Distant Future,"Barrayar (fictional, OSS)",5 F 33 42
A Fire Upon the Deep,Vernor Vinge,1992,Very Distant Future,Outer Space (MWG),6 M 33 42
Green Mars,Kim Stanley Robinson,1994,Early 22nd century,Mars,2 M 32 42
Mirror Dance,Lois McMaster Bujold,1994,Very Distant Future,"Jacksonês Whole and Barrayar (fictional, OSS)",05 10 F 33 42
The Diamond Age,Neal Stephenson,1995,Late 21st century,Earth,1 M 32 41
Blue Mars,Kim Stanley Robinson,1996,22nd Century,Mars,2 F 32 42
To Say Nothing of the Dog,Connie Willis,1997,2057,Earth,1 F 32 41
A Deepness in the Sky,Vernor Vinge,1998,Distant Future,"On/Off Star System (fictional, OSS)",05 10 M 33 42
Harry Potter and the Goblet of Fire,J.K. Rowling,2000,Present,Earth,1 F 31 41
Hominids,Robert J. Sawyer,2002,Present,Earth,1 M 31 41
Jonathan Strange and Mr. Norrell,Susanna Clarke,2004,19th century,Earth,1 F 30 40
Spin,Robert Charles Wilson,2005,Near Future,"Earth, Mars",01 02 M 32 41
Rainbow's End,Vernor Vinge,2006,Near Future,Earth,1 M 32 41
The Graveyard Book,Neil Gaiman,2008,"Near-past, Present",Earth,1 M 31 41
The City and the City,China Mieville,2009,Near Future,Earth,1 M 32 41
Redshirts,John Scalzi,2012,Distant Future,Outer Space (OSS),5 M 33 42
