Novel,Author,Date Published,Date of Action,Location,Tags
Tehanu:  The Last Novel of Earthsea,Ursula LeGuin,1990,N/A,Earthsea (fictional and in a fictional universe),
Stations of the Tide,Michael Swanwick,1991,Very Distant Future,"Miranda (fictional, OSS)",5
Doomsday Book,Connie Willis,1992,Late 21st Century,Earth,1
Red Mars,Kim Stanley Robinson,1993,2026,Mars,2
Moving Mars,Greg Bear,1993,22nd century,Mars,2
The Terminal Experiment,Robert J. Sawyer,1995,2011,Earth,1
Slow River,Nicola Griffith,1995,Near Future,Earth,1
The Moon and the Sun,Vonda McIntyre,1997,17th Century,Earth,1
Forever Peace,Joe Haldeman,1997,Near Future,Earth,1
Parable of the Talents,Octavia E. Butler,1998,21st Century,Earth,1
Darwinês Radio,Greg Bear,1999,Near Future,Earth,1
The Quantum Rose,Catharine Asaro,2000,Very Distant Future,"Balumil and Kamoj (fictional, OSS)",5
American Gods,Neil Gaiman,2001,Present,Earth,1
The Speed of Dark,Elizabeth Moon,2002,Near Future,Earth,1
Paladin of Souls,Lois McMaster Bujold,2003,N/A,N/A,
Camouflage,Joe Haldeman,2004,Prehistory - 2019,Earth,1
Seeker,Jack McDevitt,2005,"circa 12,000 A.D.",Outer Space (OSS),5
The Yiddish Policemanês Union,Michael Chabon,2007,Alternative Present,Earth,1
Powers,Ursula LeGuin,2007,N/A,N/A,
The Windup Girl,Paolo Bacigalupi,2009,23rd Century,Earth,1
Blackout/All Clear,Connie Willis,2010,Mid 21st Century,Earth,1
Among Others,Jo Walton,2011,1979-80,Earth,1
2312,Kim Stanley Robinson,2012,2312,Mercury,
Ancillary Justice,Anne Leckie,2013,Very Distant Future,"Radchaii Empire (fictional, OSS)",5
The Vor Game,Lois McMaster Bujold,1990,Very Distant Future,Outer Space (OSS),5
Barrayar,Lois McMaster Bujold,1991,Very Distant Future,"Barrayar (fictional, OSS)",5
A Fire Upon the Deep,Vernor Vinge,1992,Very Distant Future,Outer Space (MWG),6
Green Mars,Kim Stanley Robinson,1994,Early 22nd century,Mars,2
Mirror Dance,Lois McMaster Bujold,1994,Very Distant Future,"Jacksonês Whole and Barrayar (fictional, OSS)",5
The Diamond Age,Neal Stephenson,1995,Late 21st century,Earth,1
Blue Mars,Kim Stanley Robinson,1996,22nd Century,Mars,2
To Say Nothing of the Dog,Connie Willis,1997,2057,Earth,1
A Deepness in the Sky,Vernor Vinge,1998,Distant Future,"On/Off Star System (fictional, OSS)",5
Harry Potter and the Goblet of Fire,J.K. Rowling,2000,Present,Earth,1
Hominids,Robert J. Sawyer,2002,Present,Earth,1
Jonathan Strange and Mr. Norrell,Susanna Clarke,2004,19th century,Earth,1
Spin,Robert Charles Wilson,2005,Near Future,"Earth, Mars",1 2
Rainbowês End,Vernor Vinge,2006,Near Future,Earth,1
The Graveyard Book,Neil Gaiman,2008,"Near-past, Present",Earth,1
The City and the City,China Mieville,2009,Near Future,Earth,1
Redshirts,John Scalzi,2012,Distant Future,Outer Space (OSS),5
